"행정구역별(읍면동)","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"강북구","남자[명]","명","156386","154407","152464","150028","147112","144779","141265","138515","136266","133834",
"강북구","여자[명]","명","163606","161805","161234","159110","156759","154756","151346","149273","147889","146636",
"강북구","내국인-계[명]","명","315754","311917","309255","304191","298525","294351","287693","282191","277553","273271",
"강북구","내국인-남자[명]","명","154667","152689","150745","148057","145024","142837","139416","136441","133893","131321",
"강북구","내국인-여자[명]","명","161087","159228","158510","156134","153501","151514","148277","145750","143660","141950",
"강북구","외국인-계[명]","명","4238","4295","4443","4947","5346","5184","4918","5597","6602","7199",
"강북구","외국인-남자[명]","명","1719","1718","1719","1971","2088","1942","1849","2074","2373","2513",
"강북구","외국인-여자[명]","명","2519","2577","2724","2976","3258","3242","3069","3523","4229","4686",
"강북구","가구-계[가구]","가구","127462","127371","129204","129610","130161","131884","132458","133870","134438","134478",
"강북구","일반가구[가구]","가구","125666","125580","127281","127551","128012","129805","130329","131275","131363","130929",
"강북구","집단가구[가구]","가구","82","59","68","98","72","72","92","93","90","93",
"강북구","외국인가구[가구]","가구","1714","1732","1855","1961","2077","2007","2037","2502","2985","3456",
"강북구","주택_계[호]","호","91806","93623","94526","95097","97070","97452","97840","99477","100418","101800",
"강북구","주택_단독주택[호]","호","19393","18870","18369","18185","18017","17557","17261","17134","17068","16937",
