행정구역별(읍면동),항목,단위,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년,2024 년,Unnamed: 13
오산시,총인구[명],명,213840.0,215478.0,219877.0,228059.0,233998.0,240645.0,242297.0,242596.0,243832.0,254071.0,
시흥시,총인구[명],명,425184.0,429321.0,446369.0,480201.0,508749.0,535147.0,554074.0,557663.0,568455.0,571982.0,
군포시,총인구[명],명,285721.0,284301.0,280913.0,276860.0,275154.0,275571.0,270443.0,267750.0,263939.0,258110.0,
의왕시,총인구[명],명,154879.0,153629.0,151852.0,149599.0,155826.0,160230.0,160115.0,157318.0,154788.0,151306.0,
하남시,총인구[명],명,154838.0,195422.0,218994.0,238592.0,260544.0,279795.0,305470.0,315203.0,320562.0,320872.0,
용인시,총인구[명],명,971327.0,982590.0,996260.0,1026126.0,1052529.0,1066975.0,1067347.0,1064500.0,1066979.0,1077481.0,
처인구,총인구[명],명,231892.0,234916.0,240521.0,259524.0,266647.0,268242.0,268115.0,268863.0,274005.0,286273.0,
기흥구,총인구[명],명,407238.0,412713.0,416746.0,422583.0,434075.0,434871.0,435708.0,431163.0,428463.0,429488.0,
수지구,총인구[명],명,332197.0,334961.0,338993.0,344019.0,351807.0,363862.0,363524.0,364474.0,364511.0,361720.0,
파주시,총인구[명],명,415345.0,423957.0,430650.0,447906.0,454328.0,460541.0,475212.0,490765.0,495339.0,510689.0,
이천시,총인구[명],명,209003.0,214766.0,218798.0,220599.0,222995.0,226212.0,229321.0,227193.0,228695.0,230189.0,
안성시,총인구[명],명,194765.0,196362.0,198832.0,201135.0,202284.0,203030.0,203897.0,208619.0,210390.0,215739.0,
김포시,총인구[명],명,352683.0,365770.0,392438.0,424865.0,442910.0,474546.0,491572.0,491249.0,496323.0,499536.0,
화성시,총인구[명],명,608725.0,655350.0,708569.0,777295.0,838635.0,880859.0,906381.0,931472.0,974156.0,1004079.0,
광주시,총인구[명],명,310278.0,322302.0,341046.0,364178.0,375238.0,385141.0,387700.0,392926.0,394667.0,402335.0,
양주시,총인구[명],명,205988.0,207009.0,212631.0,217776.0,224684.0,233286.0,239800.0,242995.0,269641.0,293000.0,
포천시,총인구[명],명,163388.0,162698.0,161239.0,161564.0,159871.0,157939.0,157602.0,163542.0,157111.0,157166.0,
여주시,총인구[명],명,109937.0,110273.0,111476.0,112096.0,111981.0,113352.0,113270.0,113831.0,116045.0,117477.0,
연천군,총인구[명],명,43846.0,44437.0,43990.0,43383.0,42540.0,42278.0,41642.0,41288.0,41007.0,40386.0,
가평군,총인구[명],명,58909.0,59391.0,59548.0,59957.0,59823.0,60233.0,59714.0,59755.0,59893.0,60384.0,
양평군,총인구[명],명,101930.0,105709.0,109359.0,111094.0,111836.0,113844.0,115616.0,116950.0,119320.0,121622.0,
강원특별자치도,총인구[명],명,1518040.0,1521751.0,1521386.0,1520391.0,1520127.0,1521763.0,1521890.0,1528037.0,1528014.0,1522881.0,
춘천시,총인구[명],명,281596.0,283027.0,283742.0,284985.0,284753.0,284645.0,287104.0,293124.0,292504.0,291783.0,
원주시,총인구[명],명,330854.0,337479.0,341338.0,344168.0,349319.0,352429.0,357224.0,361810.0,364912.0,365720.0,
강릉시,총인구[명],명,215677.0,215977.0,215914.0,215528.0,216357.0,216542.0,216560.0,215128.0,213786.0,212352.0,
동해시,총인구[명],명,90255.0,89527.0,89151.0,87830.0,86780.0,87801.0,87264.0,86772.0,86222.0,85673.0,
태백시,총인구[명],명,46715.0,45708.0,44733.0,43488.0,42474.0,41494.0,40395.0,39113.0,38425.0,37590.0,
속초시,총인구[명],명,79846.0,79109.0,78618.0,78312.0,78643.0,80054.0,80362.0,80903.0,80497.0,79758.0,
삼척시,총인구[명],명,69509.0,69364.0,67860.0,67881.0,67210.0,65939.0,64464.0,64289.0,63542.0,62953.0,
홍천군,총인구[명],명,67190.0,66791.0,67168.0,67177.0,66634.0,66587.0,65658.0,65215.0,65109.0,65719.0,
횡성군,총인구[명],명,42669.0,42927.0,43211.0,44116.0,44431.0,44649.0,44712.0,44864.0,45789.0,45947.0,
영월군,총인구[명],명,36967.0,37019.0,36934.0,36762.0,36332.0,36282.0,35728.0,35654.0,35581.0,35449.0,
평창군,총인구[명],명,40427.0,40470.0,40264.0,40025.0,39657.0,39258.0,38613.0,38699.0,38959.0,39016.0,
정선군,총인구[명],명,36701.0,36233.0,36002.0,35580.0,35255.0,34524.0,33786.0,33354.0,32793.0,32503.0,
철원군,총인구[명],명,46025.0,45433.0,44770.0,44346.0,43520.0,43042.0,41855.0,41145.0,40702.0,40069.0,
화천군,총인구[명],명,25343.0,24820.0,24625.0,23950.0,23425.0,23733.0,23092.0,22545.0,22372.0,22278.0,
양구군,총인구[명],명,22497.0,22454.0,22355.0,22101.0,21780.0,21317.0,21121.0,20824.0,20943.0,20443.0,
인제군,총인구[명],명,31219.0,30759.0,30524.0,30373.0,30133.0,30147.0,30670.0,30905.0,31490.0,31167.0,
고성군,총인구[명],명,28689.0,28984.0,28621.0,28127.0,27144.0,26572.0,26650.0,27127.0,27811.0,27774.0,
양양군,총인구[명],명,25861.0,25670.0,25556.0,25642.0,26280.0,26748.0,26632.0,26566.0,26577.0,26687.0,
충청북도,총인구[명],명,1589347.0,1603404.0,1611009.0,1620935.0,1629343.0,1632088.0,1624764.0,1624993.0,1641481.0,1646328.0,
충주시,총인구[명],명,211005.0,211890.0,212274.0,215224.0,216446.0,218412.0,215349.0,215783.0,215990.0,215904.0,
제천시,총인구[명],명,136350.0,137022.0,136929.0,136101.0,136093.0,134768.0,133750.0,130436.0,131583.0,130733.0,
청주시,총인구[명],명,833276.0,840338.0,842311.0,845036.0,850938.0,855326.0,856923.0,858500.0,870358.0,873368.0,
상당구,총인구[명],명,171877.0,169463.0,166664.0,170120.0,173783.0,184787.0,189611.0,191510.0,197451.0,195499.0,
서원구,총인구[명],명,222721.0,221143.0,221147.0,216409.0,210273.0,202390.0,195526.0,194132.0,195222.0,190979.0,
흥덕구,총인구[명],명,255542.0,257050.0,258308.0,258037.0,266301.0,270590.0,273483.0,274114.0,281394.0,291048.0,
청원구,총인구[명],명,183136.0,192682.0,196192.0,200470.0,200581.0,197559.0,198303.0,198744.0,196291.0,195842.0,
보은군,총인구[명],명,32522.0,32517.0,32253.0,32507.0,32001.0,31543.0,30929.0,30636.0,30226.0,29858.0,
옥천군,총인구[명],명,50704.0,50159.0,49898.0,49756.0,49117.0,48868.0,48507.0,48013.0,47771.0,47416.0,
영동군,총인구[명],명,49542.0,48879.0,49034.0,48475.0,48004.0,47016.0,45546.0,43813.0,44331.0,43730.0,
진천군,총인구[명],명,71152.0,74222.0,79186.0,83915.0,87525.0,89514.0,91779.0,93174.0,94405.0,96544.0,
괴산군,총인구[명],명,37830.0,38164.0,38579.0,38453.0,38808.0,38093.0,37526.0,37830.0,37607.0,37346.0,
음성군,총인구[명],명,102023.0,104635.0,104509.0,105539.0,104823.0,103725.0,100866.0,102564.0,104615.0,106652.0,
단양군,총인구[명],명,28770.0,28503.0,28411.0,28444.0,28095.0,27640.0,26937.0,26466.0,26473.0,26597.0,
증평군,총인구[명],명,36173.0,37075.0,37625.0,37485.0,37493.0,37183.0,36652.0,37778.0,38122.0,38180.0,
충청남도,총인구[명],명,2107802.0,2132566.0,2162426.0,2181416.0,2188649.0,2176636.0,2175960.0,2193214.0,2216332.0,2238243.0,
천안시,총인구[명],명,629062.0,638752.0,656294.0,671799.0,679743.0,682199.0,683888.0,687951.0,689851.0,694765.0,
동남구,총인구[명],명,277781.0,276627.0,273839.0,276455.0,279153.0,273764.0,270836.0,273967.0,275944.0,279621.0,
서북구,총인구[명],명,351281.0,362125.0,382455.0,395344.0,400590.0,408435.0,413052.0,413984.0,413907.0,415144.0,
공주시,총인구[명],명,113542.0,112928.0,111017.0,110119.0,109877.0,108333.0,106915.0,106038.0,105498.0,104393.0,
보령시,총인구[명],명,101852.0,101161.0,100922.0,100229.0,99320.0,99088.0,97390.0,96511.0,96890.0,96182.0,
아산시,총인구[명],명,319929.0,328287.0,338473.0,342272.0,347032.0,340518.0,348727.0,363197.0,376632.0,392509.0,
서산시,총인구[명],명,169221.0,169643.0,171364.0,174177.0,175204.0,176379.0,177497.0,177947.0,178618.0,178586.0,
논산시,총인구[명],명,124246.0,124202.0,123774.0,122843.0,122111.0,119707.0,117262.0,116852.0,115925.0,114692.0,
계룡시,총인구[명],명,39243.0,40576.0,41858.0,41557.0,41153.0,40854.0,41415.0,42416.0,44822.0,45026.0,
당진시,총인구[명],명,163762.0,166043.0,168508.0,169965.0,169171.0,168955.0,169507.0,171192.0,174955.0,177715.0,
금산군,총인구[명],명,55923.0,56697.0,55672.0,55015.0,54442.0,53758.0,52436.0,52399.0,53124.0,53212.0,
부여군,총인구[명],명,69017.0,68152.0,67028.0,66527.0,65337.0,64207.0,62415.0,61481.0,60991.0,59930.0,
서천군,총인구[명],명,54768.0,53880.0,53321.0,52604.0,51826.0,51039.0,50012.0,49509.0,49294.0,48575.0,
청양군,총인구[명],명,31653.0,31440.0,31299.0,31181.0,30783.0,30103.0,30103.0,29761.0,29972.0,29818.0,
홍성군,총인구[명],명,94114.0,100739.0,103048.0,103044.0,102791.0,102757.0,101618.0,100339.0,100015.0,102178.0,
예산군,총인구[명],명,81747.0,79425.0,78678.0,79136.0,78963.0,77838.0,76490.0,76967.0,79229.0,79848.0,
태안군,총인구[명],명,59723.0,60641.0,61170.0,60948.0,60896.0,60901.0,60285.0,60654.0,60516.0,60814.0,
전북특별자치도,총인구[명],명,1834114.0,1833168.0,1826174.0,1818157.0,1807423.0,1802766.0,1787053.0,1774248.0,1768491.0,1758836.0,
전주시,총인구[명],명,658172.0,657766.0,656956.0,658912.0,662086.0,666517.0,670411.0,665884.0,658032.0,649634.0,
완산구,총인구[명],명,367243.0,365260.0,362132.0,348108.0,341123.0,342896.0,342394.0,338570.0,333353.0,327406.0,
덕진구,총인구[명],명,290929.0,292506.0,294824.0,310804.0,320963.0,323621.0,328017.0,327314.0,324679.0,322228.0,
군산시,총인구[명],명,275155.0,276394.0,273649.0,272204.0,270635.0,269023.0,267635.0,266438.0,265764.0,265473.0,
익산시,총인구[명],명,301723.0,300929.0,298928.0,294787.0,290119.0,285312.0,280150.0,277030.0,274350.0,272392.0,
정읍시,총인구[명],명,110627.0,109968.0,109263.0,108271.0,107348.0,106706.0,104463.0,103255.0,102507.0,101887.0,
남원시,총인구[명],명,80499.0,80076.0,79282.0,78487.0,77690.0,78097.0,76551.0,75259.0,74554.0,73781.0,
김제시,총인구[명],명,84269.0,82888.0,82358.0,81410.0,80422.0,79733.0,77998.0,78277.0,79663.0,79692.0,
완주군,총인구[명],명,95357.0,97340.0,98528.0,98002.0,96212.0,95834.0,95029.0,94771.0,101002.0,102877.0,
진안군,총인구[명],명,22886.0,22847.0,22998.0,23306.0,23013.0,23380.0,22760.0,22645.0,22843.0,22855.0,
무주군,총인구[명],명,23408.0,23129.0,23195.0,23058.0,22852.0,22678.0,22305.0,22296.0,22401.0,22904.0,
장수군,총인구[명],명,21620.0,21607.0,21395.0,21281.0,21267.0,20879.0,20335.0,20036.0,19914.0,19838.0,
임실군,총인구[명],명,25935.0,26229.0,26409.0,26377.0,26144.0,26075.0,24997.0,24922.0,24509.0,24275.0,
순창군,총인구[명],명,26707.0,26814.0,27017.0,27136.0,26642.0,26598.0,25483.0,25279.0,25368.0,25494.0,
고창군,총인구[명],명,55665.0,55326.0,54947.0,54425.0,53260.0,52608.0,51180.0,50784.0,50731.0,51371.0,
부안군,총인구[명],명,52091.0,51855.0,51249.0,50501.0,49733.0,49326.0,47756.0,47372.0,46853.0,46363.0,
전라남도,총인구[명],명,1799044.0,1796017.0,1792319.0,1790352.0,1787543.0,1788807.0,1778124.0,1771431.0,1776668.0,1778338.0,
목포시,총인구[명],명,239524.0,237484.0,233948.0,231798.0,228876.0,224509.0,221178.0,219625.0,217950.0,214701.0,
여수시,총인구[명],명,273761.0,273925.0,271741.0,270947.0,270283.0,271505.0,268687.0,268139.0,267392.0,265859.0,
순천시,총인구[명],명,265390.0,266519.0,266809.0,268284.0,270202.0,272449.0,273827.0,272085.0,272041.0,271376.0,
나주시,총인구[명],명,92582.0,98221.0,105579.0,109862.0,112101.0,113293.0,115138.0,114785.0,117012.0,118018.0,
광양시,총인구[명],명,144414.0,144364.0,144010.0,144027.0,143656.0,143928.0,144226.0,145926.0,147378.0,150390.0,
담양군,총인구[명],명,43634.0,43519.0,43781.0,43749.0,43804.0,44201.0,44034.0,43572.0,43763.0,43310.0,
곡성군,총인구[명],명,28617.0,28718.0,28768.0,28116.0,27858.0,27349.0,26781.0,26454.0,26273.0,25990.0,
구례군,총인구[명],명,24595.0,24278.0,24420.0,24246.0,23836.0,23907.0,23543.0,23165.0,22894.0,22724.0,
